,fullname,html,id,likes,replies,retweets,text,timestamp,url,user
89,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Build your products in the United States and there are NO TARIFFS!</p>",1126821318861697024,102747,14201,23573,Build your products in the United States and there are NO TARIFFS!,2019-05-10T12:08:32,/realDonaldTrump/status/1126821318861697024,realDonaldTrump
115,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....If we bought 15 Billion Dollars of Agriculture from our Farmers, far more than China buys now, we would have more than 85 Billion Dollars left over for new Infrastructure, Healthcare, or anything else. China would greatly slow down, and we would automatically speed up!</p>",1126821035146469376,71404,7131,15242,"....If we bought 15 Billion Dollars of Agriculture from our Farmers, far more than China buys now, we would have more than 85 Billion Dollars left over for new Infrastructure, Healthcare, or anything else. China would greatly slow down, and we would automatically speed up!",2019-05-10T12:07:24,/realDonaldTrump/status/1126821035146469376,realDonaldTrump
116,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Tariffs will bring in FAR MORE wealth to our Country than even a phenomenal deal of the traditional kind. Also, much easier &amp; quicker to do. Our Farmers will do better, faster, and starving nations can now be helped. Waivers on some products will be granted, or go to new source!</p>",1126815715682656256,69160,6248,14166,"Tariffs will bring in FAR MORE wealth to our Country than even a phenomenal deal of the traditional kind. Also, much easier & quicker to do. Our Farmers will do better, faster, and starving nations can now be helped. Waivers on some products will be granted, or go to new source!",2019-05-10T11:46:16,/realDonaldTrump/status/1126815715682656256,realDonaldTrump
117,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Military spouses share an admirable legacy of unwavering devotion to their loved ones in uniform and to the cause of freedom. On Military Spouse Day, we honor our Nation’s military spouses and express our deep appreciation for all that they do!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.pscp.tv/w/b6XgJDFvTlFsTFJub1dwUXd8MXpxS1Zhb3JYbll4QkGzf39NVELPISjQPyS24hUO86OxayYG_LnMuJrF7mgN?t=4s"" dir=""ltr"" href=""https://t.co/B3NrKc698y"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.pscp.tv/w/b6XgJDFvTlFsTFJub1dwUXd8MXpxS1Zhb3JYbll4QkGzf39NVELPISjQPyS24hUO86OxayYG_LnMuJrF7mgN?t=4s""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">pscp.tv/w/b6XgJDFvTlFs</span><span class=""invisible"">TFJub1dwUXd8MXpxS1Zhb3JYbll4QkGzf39NVELPISjQPyS24hUO86OxayYG_LnMuJrF7mgN?t=4s</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",1126958457146548225,60488,6916,15706,"Military spouses share an admirable legacy of unwavering devotion to their loved ones in uniform and to the cause of freedom. On Military Spouse Day, we honor our Nation’s military spouses and express our deep appreciation for all that they do!https://www.pscp.tv/w/b6XgJDFvTlFsTFJub1dwUXd8MXpxS1Zhb3JYbll4QkGzf39NVELPISjQPyS24hUO86OxayYG_LnMuJrF7mgN?t=4s …",2019-05-10T21:13:28,/realDonaldTrump/status/1126958457146548225,realDonaldTrump
118,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....into the future will continue. In the meantime, the United States has imposed Tariffs on China, which may or may not be removed depending on what happens with respect to future negotiations!</p>",1126928410310266880,72505,6482,14208,"....into the future will continue. In the meantime, the United States has imposed Tariffs on China, which may or may not be removed depending on what happens with respect to future negotiations!",2019-05-10T19:14:04,/realDonaldTrump/status/1126928410310266880,realDonaldTrump
119,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Over the course of the past two days, the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one, and conversations....</p>",1126928408934535168,86184,7676,17272,"Over the course of the past two days, the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one, and conversations....",2019-05-10T19:14:04,/realDonaldTrump/status/1126928408934535168,realDonaldTrump
120,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great Republican vote today on Disaster Relief Bill. We will now work out a bipartisan solution that gets relief for our great States and Farmers. Thank you to all. Get me a Bill that I can quickly sign!</p>",1126909015114637312,73985,6134,16320,Great Republican vote today on Disaster Relief Bill. We will now work out a bipartisan solution that gets relief for our great States and Farmers. Thank you to all. Get me a Bill that I can quickly sign!,2019-05-10T17:57:00,/realDonaldTrump/status/1126909015114637312,realDonaldTrump
121,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">“We have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO, particularly around intellectual property.” Carly Fiorina <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""208155240"" dir=""ltr"" href=""/MariaBartiromo""><s>@</s><b>MariaBartiromo</b></a></p>",1126844132079616002,56756,6661,14198,"“We have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO, particularly around intellectual property.” Carly Fiorina @MariaBartiromo",2019-05-10T13:39:11,/realDonaldTrump/status/1126844132079616002,realDonaldTrump
122,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Looks to me like it’s going to be SleepyCreepy Joe over Crazy Bernie. Everyone else is fading fast!</p>",1126839450330382346,91514,28752,19405,Looks to me like it’s going to be SleepyCreepy Joe over Crazy Bernie. Everyone else is fading fast!,2019-05-10T13:20:35,/realDonaldTrump/status/1126839450330382346,realDonaldTrump
123,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""4"" lang=""en"">Republicans must stick together!<a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://twitter.com/realDonaldTrump/status/1126625647214964737"" dir=""ltr"" href=""https://t.co/APrvcjpqOp"" rel=""nofollow noopener"" target=""_blank"" title=""https://twitter.com/realDonaldTrump/status/1126625647214964737""><span class=""tco-ellipsis""></span><span class=""invisible"">https://</span><span class=""js-display-url"">twitter.com/realDonaldTrum</span><span class=""invisible"">p/status/1126625647214964737</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",1126697884953370625,63707,8810,16434,Republicans must stick together!https://twitter.com/realDonaldTrump/status/1126625647214964737 …,2019-05-10T03:58:03,/realDonaldTrump/status/1126697884953370625,realDonaldTrump
124,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to “really rock!” Good numbers all around.</p>",1126834718316683265,62514,5228,13960,"Great Consumer Price Index just out. Really good, very low inflation! We have a great chance to “really rock!” Good numbers all around.",2019-05-10T13:01:47,/realDonaldTrump/status/1126834718316683265,realDonaldTrump
125,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS, the greatest anywhere in the World!</p>",1126833126179840000,117289,28573,21967,"Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS, the greatest anywhere in the World!",2019-05-10T12:55:27,/realDonaldTrump/status/1126833126179840000,realDonaldTrump
