,fullname,html,id,likes,replies,retweets,text,timestamp,url,user
0,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Democrat Rep. Tlaib is being slammed for her horrible and highly insensitive statement on the Holocaust. She obviously has tremendous hatred of Israel and the Jewish people. Can you imagine what would happen if I ever said what she said, and says?</p>",1127938873630367744,4995,1160,1532,"Democrat Rep. Tlaib is being slammed for her horrible and highly insensitive statement on the Holocaust. She obviously has tremendous hatred of Israel and the Jewish people. Can you imagine what would happen if I ever said what she said, and says?",2019-05-13T14:09:18,/realDonaldTrump/status/1127938873630367744,realDonaldTrump
1,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Bernie Sanders, “The Economy is doing well, and I’m sure I don’t have to give Trump any credit - I’m sure he’ll take all the credit that he wants.” Wrong Bernie, the Economy is doing GREAT, and would have CRASHED if my opponent (and yours), Crooked Hillary Clinton, had ever won!</p>",1127936425834504192,11043,2541,2810,"Bernie Sanders, “The Economy is doing well, and I’m sure I don’t have to give Trump any credit - I’m sure he’ll take all the credit that he wants.” Wrong Bernie, the Economy is doing GREAT, and would have CRASHED if my opponent (and yours), Crooked Hillary Clinton, had ever won!",2019-05-13T13:59:34,/realDonaldTrump/status/1127936425834504192,realDonaldTrump
2,Ronna McDaniel,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Asian Americans are winning with <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realDonaldTrump</b></a>:
 
2.1% unemployment rate – the lowest in history!

Asian taxpayers received an average tax cut of $2,560.

Awesome news! <span class=""twitter-hashflag-container""><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/APAHM?src=hash""><s>#</s><b>APAHM</b></a><a dir=""ltr"" href=""/hashtag/APAHM?src=hash""><img alt="""" class=""twitter-hashflag"" draggable=""false"" src=""https://abs.twimg.com/hashflags/AsianHeritageMonth_2019/AsianHeritageMonth_2019.png""/></a></span><a class=""twitter-timeline-link u-hidden"" data-expanded-url=""https://www.washingtonexaminer.com/opinion/op-eds/asian-americans-keep-winning-in-the-trump-economy"" dir=""ltr"" href=""https://t.co/C5umhuJi2M"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.washingtonexaminer.com/opinion/op-eds/asian-americans-keep-winning-in-the-trump-economy""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">washingtonexaminer.com/opinion/op-eds</span><span class=""invisible"">/asian-americans-keep-winning-in-the-trump-economy</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a></p>",1127667763114381312,8475,1168,2326,"Asian Americans are winning with @realDonaldTrump:
 
2.1% unemployment rate – the lowest in history!

Asian taxpayers received an average tax cut of $2,560.

Awesome news! #APAHMhttps://www.washingtonexaminer.com/opinion/op-eds/asian-americans-keep-winning-in-the-trump-economy …",2019-05-12T20:12:00,/GOPChairwoman/status/1127667763114381312,GOPChairwoman
3,Ronna McDaniel,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Joe Biden let China get away with cheating when he was Vice President, and he continues to naively dismiss China today.

China is stealing from American businesses, hurting our workers, and <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""25073877"" dir=""ltr"" href=""/realDonaldTrump""><s>@</s><b>realDonaldTrump</b></a> is right to fight back!</p>",1127903731708825601,12091,1754,3624,"Joe Biden let China get away with cheating when he was Vice President, and he continues to naively dismiss China today.

China is stealing from American businesses, hurting our workers, and @realDonaldTrump is right to fight back!",2019-05-13T11:49:39,/GOPChairwoman/status/1127903731708825601,GOPChairwoman
4,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Has anyone noticed that all the Boston <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""40918816"" dir=""ltr"" href=""/RedSox""><s>@</s><b>RedSox</b></a> have done is WIN since coming to the White House! Others also have done very well. The White House visit is becoming the opposite of being on the cover of Sports Illustrated! By the way, the Boston players were GREAT guys!</p>",1127898588565135360,30514,8592,6417,"Has anyone noticed that all the Boston @RedSox have done is WIN since coming to the White House! Others also have done very well. The White House visit is becoming the opposite of being on the cover of Sports Illustrated! By the way, the Boston players were GREAT guys!",2019-05-13T11:29:13,/realDonaldTrump/status/1127898588565135360,realDonaldTrump
5,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don’t get it!</p>",1127891815628144640,29023,6076,7101,The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don’t get it!,2019-05-13T11:02:18,/realDonaldTrump/status/1127891815628144640,realDonaldTrump
6,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Also, congratulations to <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""1209936918"" dir=""ltr"" href=""/OANN""><s>@</s><b>OANN</b></a> on the great job you are doing and the big ratings jump (“thank you President Trump”)!</p>",1127890323055742976,31052,2834,7772,"Also, congratulations to @OANN on the great job you are doing and the big ratings jump (“thank you President Trump”)!",2019-05-13T10:56:22,/realDonaldTrump/status/1127890323055742976,realDonaldTrump
7,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Thank you <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""15513604"" dir=""ltr"" href=""/foxandfriends""><s>@</s><b>foxandfriends</b></a>, great show this morning and congratulations on your number one (by far) rating. Well deserved!</p>",1127889348874113024,29159,2781,5906,"Thank you @foxandfriends, great show this morning and congratulations on your number one (by far) rating. Well deserved!",2019-05-13T10:52:30,/realDonaldTrump/status/1127889348874113024,realDonaldTrump
8,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">I say openly to President Xi &amp; all of my many friends in China that China will be hurt very badly if you don’t make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal, almost completed, &amp; you backed out!</p>",1127888569543077888,41716,6314,10610,"I say openly to President Xi & all of my many friends in China that China will be hurt very badly if you don’t make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal, almost completed, & you backed out!",2019-05-13T10:49:24,/realDonaldTrump/status/1127888569543077888,realDonaldTrump
9,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">..There will be nobody left in China to do business with. Very bad for China, very good for USA! But China has taken so advantage of the U.S. for so many years, that they are way ahead (Our Presidents did not do the job). Therefore, China should not retaliate-will only get worse!</p>",1127886309316599808,37827,3132,8611,"..There will be nobody left in China to do business with. Very bad for China, very good for USA! But China has taken so advantage of the U.S. for so many years, that they are way ahead (Our Presidents did not do the job). Therefore, China should not retaliate-will only get worse!",2019-05-13T10:40:25,/realDonaldTrump/status/1127886309316599808,realDonaldTrump
10,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">....completely avoided if you by from a non-Tariffed Country, or you buy the product inside the USA (the best idea). That’s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That’s why China wants to make a deal so badly!...</p>",1127886307995336705,36044,2097,8092,"....completely avoided if you by from a non-Tariffed Country, or you buy the product inside the USA (the best idea). That’s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That’s why China wants to make a deal so badly!...",2019-05-13T10:40:25,/realDonaldTrump/status/1127886307995336705,realDonaldTrump
11,Donald J. Trump,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Their is no reason for the U.S. Consumer to pay the Tariffs, which take effect on China today. This has been proven recently when only 4 points were paid by the U.S., 21 points by China because China subsidizes product to such a large degree. Also, the Tariffs can be.....</p>",1127886307118678016,39474,4564,9232,"Their is no reason for the U.S. Consumer to pay the Tariffs, which take effect on China today. This has been proven recently when only 4 points were paid by the U.S., 21 points by China because China subsidizes product to such a large degree. Also, the Tariffs can be.....",2019-05-13T10:40:25,/realDonaldTrump/status/1127886307118678016,realDonaldTrump
